STN,YYYYMMDD,TG,TN,TX,Q,RH,UG,EV24
275,20140101,66,41,83,327,6,85,4
275,20140102,84,57,105,147,13,86,2
275,20140103,82,52,117,178,78,85,2
275,20140104,70,49,91,209,3,84,3
275,20140105,53,34,72,327,20,88,4
275,20140106,106,51,137,137,23,85,2
275,20140107,103,87,124,193,0,77,3
275,20140108,82,64,101,169,56,90,2
275,20140109,88,59,116,93,32,85,1
275,20140110,55,30,81,341,3,89,4
275,20140111,35,5,67,138,11,93,2
275,20140112,14,-19,54,401,0,94,4
275,20140113,55,14,91,235,-1,89,3
275,20140114,45,8,76,263,0,91,3
275,20140115,38,15,55,118,38,95,1
275,20140116,67,55,79,101,17,94,1
275,20140117,73,62,91,165,89,86,2
275,20140118,69,47,89,387,-1,80,5
275,20140119,54,32,73,363,0,83,5
275,20140120,25,10,54,75,-1,96,1
275,20140121,27,10,43,81,-1,98,1
275,20140122,26,-1,46,187,0,91,2
275,20140123,15,-11,44,93,39,96,1
275,20140124,25,2,52,174,-1,97,2
275,20140125,29,6,50,247,47,89,3
275,20140126,46,18,63,313,132,87,4
275,20140127,35,19,50,303,14,87,4
275,20140128,40,18,68,545,0,77,7
275,20140129,-6,-23,18,277,0,86,3
275,20140130,3,-28,41,464,0,82,5
275,20140131,26,-35,66,563,-1,82,7
275,20140201,57,41,77,138,58,85,2
275,20140202,46,17,82,635,0,82,8
275,20140203,38,1,82,665,0,83,8
275,20140204,53,24,90,503,0,78,6
275,20140205,67,33,98,482,1,77,6
275,20140206,75,57,96,425,75,79,6
275,20140207,72,36,100,86,122,89,1
275,20140208,65,37,84,113,38,84,1
275,20140209,55,35,72,240,37,76,3
275,20140210,39,10,77,318,1,88,4
275,20140211,54,15,84,530,32,87,7
275,20140212,53,24,88,684,19,81,9
275,20140213,43,14,69,246,46,88,3
275,20140214,47,15,80,448,96,88,6
275,20140215,95,65,127,493,1,67,7
275,20140216,54,-7,95,716,-1,79,9
275,20140217,54,16,93,354,9,88,5
275,20140218,58,35,80,293,12,81,4
275,20140219,71,56,100,386,4,90,5
275,20140220,79,51,94,246,92,92,3
275,20140221,65,38,90,591,21,83,8
275,20140222,57,37,85,350,-1,83,5
275,20140223,67,28,109,849,0,81,11
275,20140224,78,28,128,922,0,71,13
275,20140225,88,58,116,420,3,74,6
275,20140226,69,30,110,863,-1,82,12
275,20140227,49,17,98,516,53,88,7
275,20140228,54,25,87,552,5,85,7
275,20140301,54,22,83,495,12,85,6
275,20140302,57,15,94,987,3,76,13
275,20140303,49,13,78,240,9,82,3
275,20140304,55,-9,110,948,0,82,12
275,20140305,42,-14,119,904,0,87,11
275,20140306,65,-10,134,1325,0,71,18
275,20140307,79,13,128,859,0,74,12
275,20140308,93,-9,157,1222,0,73,18
275,20140309,123,44,196,1367,0,51,21
275,20140310,109,7,200,1337,0,63,20
275,20140311,91,58,136,1117,0,80,16
